environment,algorithm,id,time,steps,reward,episode_length
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,2.3229260444641113,371,152.3,36
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,6.69677209854126,735,46.30000000000001,40
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,11.062098979949951,1073,46.30000000000001,40
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,15.762449264526367,1404,46.30000000000001,40
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,20.32599925994873,1725,43.30000000000001,40
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,24.861412286758423,2057,35.30000000000001,40
SuperMarioBrosNoFrameskip-6-3-v0,A3C,sleepy_luigi,29.460445165634155,2392,34.30000000000001,40
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,87.05071926116943,5530,105.00000000000225,2005
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,177.9666941165924,10671,106.00000000000225,2005
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,183.08859205245972,11036,108.00000000000003,52
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,275.20832109451294,16609,105.00000000000225,2005
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,368.0075931549072,22244,105.00000000000225,2005
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,373.6663672924042,22606,89.90000000000003,56
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,379.9508111476898,23009,83.50000000000006,77
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,385.5987141132355,23374,115.00000000000003,52
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,390.80132007598877,23719,112.00000000000003,52
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,395.9064841270447,24073,110.00000000000003,53
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,401.1024191379547,24405,110.00000000000003,53
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,406.3660001754761,24711,110.00000000000003,53
SuperMarioBrosNoFrameskip-3-1-v0,A3C,compassionate_yoshi,501.1276581287384,30325,105.00000000000225,2005
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,86.76142811775208,5441,-85.00000000000023,2005
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,91.32010102272034,5769,58.30000000000001,40
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,185.7420690059662,11121,161.00000000000225,2005
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,189.91162395477295,11391,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,194.12012600898743,11598,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,199.36538982391357,11877,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,204.47605109214783,12006,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,209.33801889419556,12122,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,214.3665738105774,12234,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,221.01741695404053,12394,117.50000000000003,28
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,350.35125398635864,16844,165.00000000000227,2005
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,356.84388399124146,17050,124.50000000000003,27
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,360.9551999568939,17299,129.50000000000003,27
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,364.9466619491577,17593,129.50000000000003,27
SuperMarioBrosNoFrameskip-1-1-v0,A3C,agitated_mario,368.97733902931213,17843,129.50000000000003,27
SuperMarioBrosNoFrameskip-1-1-v0,A3C,furious_boo,2.8292338848114014,351,68.30000000000001,39
SuperMarioBrosNoFrameskip-1-1-v0,A3C,furious_boo,7.933053970336914,673,58.30000000000001,40
SuperMarioBrosNoFrameskip-1-1-v0,A3C,furious_boo,12.752367973327637,968,58.30000000000001,40
SuperMarioBrosNoFrameskip-1-1-v0,A3C,furious_boo,17.647106885910034,1276,58.30000000000001,40
SuperMarioBrosNoFrameskip-1-1-v0,A3C,furious_boo,22.475271940231323,1564,58.30000000000001,40
SuperMarioBrosNoFrameskip-1-1-v0,A3C,furious_boo,27.167377948760986,1866,58.30000000000001,40
