ID,Time,Steps,FPS,Total Reward,Episode Length
determined_shaw,214.27301359176636,44662,208.43502059055456,-48.00000000000087,1505
determined_shaw,217.85310459136963,45408,208.43402753048883,123.50000000000006,23
determined_shaw,221.21305775642395,46126,208.51391173657115,123.50000000000006,23
determined_shaw,224.50498509407043,46815,208.52543644135082,123.50000000000006,23
determined_shaw,227.80480551719666,47500,208.51184369073502,123.50000000000006,23
determined_shaw,231.09123182296753,48211,208.6232334290082,123.50000000000006,23
determined_shaw,234.44232964515686,48889,208.53316068815968,123.50000000000006,23
determined_shaw,238.6669795513153,49784,208.59190531338686,183.30000000000007,31
determined_shaw,243.13614702224731,50748,208.72256396888812,183.30000000000007,31
determined_shaw,247.54084515571594,51645,208.63223589429305,183.30000000000007,31
determined_shaw,251.80987191200256,52569,208.76465088855116,183.30000000000007,31
determined_shaw,256.1291010379791,53457,208.71115302151213,183.30000000000007,31
determined_shaw,260.3888101577759,54364,208.78009299654443,183.30000000000007,31
determined_shaw,263.67061972618103,55065,208.84010534501107,123.50000000000006,23
determined_shaw,267.0253565311432,55732,208.71426116231015,123.50000000000006,23
determined_shaw,270.25266909599304,56452,208.8860035641254,123.50000000000006,23
determined_shaw,273.57374119758606,57088,208.67499837555218,123.50000000000006,23
determined_shaw,276.79316234588623,57790,208.7840592239214,123.50000000000006,23
determined_shaw,280.03435254096985,58468,208.7886699237943,123.50000000000006,23
determined_shaw,284.2669014930725,59361,208.82135657797153,183.30000000000007,31
determined_shaw,288.51043009757996,60259,208.86246635734872,183.30000000000007,31
determined_shaw,292.7937636375427,61150,208.85007672396748,183.30000000000007,31
determined_shaw,297.0233111381531,62056,208.92636258820838,183.30000000000007,31
determined_shaw,301.3161823749542,62956,208.93667078809034,183.30000000000007,31
determined_shaw,304.56409668922424,63663,209.0298912184696,123.50000000000006,23
determined_shaw,307.8616247177124,64328,208.95101836412474,123.50000000000006,23
determined_shaw,311.15926027297974,65025,208.97658627595922,123.50000000000006,23
determined_shaw,314.6447274684906,65757,208.9880880224986,123.50000000000006,23
determined_shaw,318.0295400619507,66497,209.09063977845167,123.50000000000006,23
determined_shaw,321.3377048969269,67163,209.01064200213722,123.50000000000006,23
determined_shaw,324.56486415863037,67891,209.1754453335356,123.50000000000006,23
determined_shaw,328.8436381816864,68767,209.11762313615498,183.30000000000007,31
determined_shaw,333.11825799942017,69643,209.06389346008535,183.30000000000007,31
determined_shaw,337.3349087238312,70546,209.12748184551066,183.30000000000007,31
determined_shaw,341.6079511642456,71431,209.10227574198316,183.30000000000007,31
determined_shaw,345.84810066223145,72349,209.19299502141496,183.30000000000007,31
determined_shaw,349.13471722602844,73012,209.12271509433512,123.50000000000006,23
determined_shaw,352.3754618167877,73715,209.19447574453127,123.50000000000006,23
determined_shaw,355.62306094169617,74421,209.2693308553497,123.50000000000006,23
determined_shaw,358.93229508399963,75039,209.06171171484831,123.50000000000006,23
determined_shaw,362.1492621898651,75726,209.10162716360554,123.50000000000006,23
determined_shaw,366.32394647598267,76643,209.22192157324596,183.30000000000007,31
determined_shaw,370.6175615787506,77499,209.10773809495436,183.30000000000007,31
determined_shaw,374.8661413192749,78421,209.19734101354473,183.30000000000007,31
determined_shaw,379.14191365242004,79308,209.17761171798574,183.30000000000007,31
determined_shaw,382.4032053947449,80030,209.28171853943303,123.50000000000006,23
determined_shaw,385.7136332988739,80702,209.22776130515274,123.50000000000006,23
determined_shaw,388.9676995277405,81351,209.14590105752006,123.50000000000006,23
determined_shaw,392.20088267326355,82067,209.24736181271865,123.50000000000006,23
determined_shaw,395.49479389190674,82741,209.20882215864026,123.50000000000006,23
determined_shaw,399.64289927482605,83622,209.241800997182,183.30000000000007,31
determined_shaw,403.94145107269287,84527,209.2555734885168,183.30000000000007,31
determined_shaw,408.22833776474,85452,209.32402798858507,183.30000000000007,31
determined_shaw,412.46454191207886,86341,209.329508906985,183.30000000000007,31
determined_shaw,416.7291760444641,87244,209.3541921593012,183.30000000000007,31
determined_shaw,420.9558174610138,88143,209.38777026917614,183.30000000000007,31
determined_shaw,424.2114202976227,88804,209.33901293297563,123.50000000000006,23
determined_shaw,427.42603397369385,89519,209.43740643909746,123.50000000000006,23
determined_shaw,430.6799259185791,90147,209.313215162581,123.50000000000006,23
determined_shaw,433.87667965888977,90871,209.4396962552632,123.50000000000006,23
determined_shaw,437.1319046020508,91496,209.3098193857405,123.50000000000006,23
determined_shaw,441.33070635795593,92407,209.38266626082037,183.30000000000007,31
determined_shaw,445.56224250793457,93315,209.4320189133581,183.30000000000007,31
determined_shaw,449.79440569877625,94200,209.4290164717722,183.30000000000007,31
determined_shaw,454.3317651748657,95151,209.43065683152872,183.30000000000007,31
determined_shaw,457.70718240737915,95863,209.44176470160303,123.50000000000006,23
determined_shaw,460.98290634155273,96575,209.49800669711902,123.50000000000006,23
determined_shaw,464.2586934566498,97255,209.48449941967797,123.50000000000006,23
determined_shaw,468.60495352745056,98122,209.39172593328567,183.30000000000007,31
determined_shaw,472.83327555656433,99045,209.47129806677788,183.30000000000007,31
determined_shaw,477.1481478214264,99894,209.3563612393724,183.30000000000007,31
determined_shaw,481.4123041629791,100834,209.45455512467186,183.30000000000007,31
determined_shaw,484.7061846256256,101533,209.47329169818914,123.50000000000006,23
determined_shaw,487.988308429718,102212,209.45583784354326,123.50000000000006,23
determined_shaw,491.28205728530884,102907,209.46622917318845,123.50000000000006,23
determined_shaw,494.566153049469,103569,209.41384557232428,123.50000000000006,23
determined_shaw,498.83965587615967,104499,209.48414739894415,183.30000000000007,31
